iter	PRAUC	Logloss	PRAUC:use_weights=true	PRAUC:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	F1:use_weights=true	F1:use_weights=false
17	0.765206879	0.6591994469	0.765206879	0.4961020608	0.6452216196	0.6452216196	0.6865830613	0.3375073371	0.6652600658	0.4431883872
18	0.7655656612	0.6576492797	0.7655656612	0.4964903035	0.6442865158	0.6442865158	0.6872260075	0.3381761068	0.6650638912	0.4435431956
19	0.7653334562	0.6562620914	0.7653334562	0.4960017278	0.6409201421	0.6409201421	0.6889537289	0.3399801587	0.6640694753	0.4442859921
20	0.7660511193	0.654749806	0.7660511193	0.4967724734	0.643351412	0.643351412	0.6888330169	0.3398537838	0.6653158293	0.4447604887
21	0.767451639	0.6534201112	0.767451639	0.4987314696	0.648026931	0.648026931	0.6878015098	0.3387759093	0.6673220721	0.4449438202
22	0.7674432938	0.6519150502	0.7674432938	0.4988536223	0.6491490555	0.6491490555	0.6867479954	0.3376787625	0.6674194127	0.4442595674
23	0.7673420885	0.6505718315	0.7673420885	0.4987249229	0.6439124743	0.6439124743	0.6864003359	0.3373175272	0.6644779112	0.4427157001
24	0.7679512882	0.6492809004	0.7679512882	0.4998000576	0.6528894707	0.6528894707	0.6868494236	0.3377842284	0.6694390356	0.4452238235
25	0.7683724344	0.6482245769	0.7683724344	0.5001732321	0.6532635122	0.6532635122	0.6876015825	0.338567413	0.6699928674	0.4459908069
26	0.768248883	0.6469496494	0.768248883	0.4999710563	0.6506452216	0.6506452216	0.6886984079	0.3397129187	0.6691312347	0.4463690018
27	0.7685153994	0.6458200384	0.7685153994	0.5003656631	0.6506452216	0.6506452216	0.689269581	0.3403110633	0.6694007088	0.4468850353
28	0.768624662	0.6445433898	0.768624662	0.5003048841	0.6506452216	0.6506452216	0.6897462829	0.3408111285	0.6696254364	0.4473159756
29	0.769129085	0.6432771418	0.769129085	0.5010838802	0.65270245	0.65270245	0.6894698248	0.3405210264	0.6705825359	0.447550654
30	0.7690030422	0.6422329172	0.7690030422	0.5007858801	0.6500841593	0.6500841593	0.6891165528	0.3401506997	0.6690315363	0.446614416
31	0.77001652	0.6410237838	0.77001652	0.5022706685	0.6495230971	0.6495230971	0.6889315449	0.3399569303	0.6686471647	0.4463149778
32	0.7700679183	0.6397807582	0.7700679183	0.5024830496	0.6508322424	0.6508322424	0.6888868523	0.3399101387	0.6693190783	0.4465832531
33	0.7696903535	0.6389257207	0.7696903535	0.5018223961	0.6521413877	0.6521413877	0.6882100053	0.3392023346	0.6696903965	0.4462788763
34	0.7698617628	0.6379250081	0.7698617628	0.5020826568	0.6543856368	0.6543856368	0.6882533591	0.3392476246	0.6708923457	0.4468424749
35	0.7701869391	0.6369497196	0.7701869391	0.5023677171	0.6543856368	0.6543856368	0.6885683391	0.3395768634	0.6710419555	0.447127979
36	0.7706124266	0.6356439933	0.7706124266	0.5030524192	0.6532635122	0.6532635122	0.6887998297	0.3398190485	0.6705611903	0.4470753872
37	0.7707312855	0.6346525353	0.7707312855	0.5030387076	0.6555077614	0.6555077614	0.6889671188	0.3399941798	0.6718210959	0.4477516607
38	0.7709636014	0.6335459051	0.7709636014	0.5034374142	0.6551337198	0.6551337198	0.6894438462	0.3404937792	0.6718510304	0.4480972178
39	0.7708273984	0.6325629285	0.7708273984	0.5031218293	0.6553207406	0.6553207406	0.6899785782	0.3410550905	0.6722032287	0.4486268485
40	0.7707926704	0.6317927684	0.7707926704	0.503132173	0.6538245745	0.6538245745	0.6899324518	0.3410066329	0.6713933887	0.4482338611
41	0.7710725057	0.6309417197	0.7710725057	0.5036533851	0.6553207406	0.6553207406	0.6900733806	0.3411547074	0.6722482159	0.4487130234
42	0.7712691546	0.6299197186	0.7712691546	0.5039129072	0.6562558444	0.6562558444	0.6898416843	0.3409112989	0.6726297722	0.4487212276
43	0.7714771247	0.6288644498	0.7714771247	0.5041114719	0.6547596783	0.6547596783	0.6900482762	0.3411283251	0.6719409799	0.4485586163
44	0.7716737659	0.6279436149	0.7716737659	0.5043945901	0.6566298859	0.6566298859	0.6903737468	0.341470531	0.6730791567	0.449292981
45	0.7718248984	0.6272618392	0.7718248984	0.5046347814	0.6570039274	0.6570039274	0.6901169181	0.3412004662	0.6731534547	0.4491465831
46	0.7718867693	0.6264339197	0.7718867693	0.5046725355	0.657377969	0.657377969	0.6898290869	0.34089807	0.6732126915	0.4489717716
47	0.7719738845	0.6256356312	0.7719738845	0.5048631503	0.657377969	0.657377969	0.6895458477	0.3406007752	0.673077784	0.4487138572
48	0.772224077	0.624671903	0.772224077	0.5052014544	0.6583130728	0.6583130728	0.6906054756	0.3417143967	0.6740727426	0.4498977505
49	0.7726569809	0.6237606657	0.7726569809	0.5058784095	0.6575649897	0.6575649897	0.6911198771	0.3422564003	0.6739250155	0.4501920615
50	0.7726051254	0.6229624233	0.7726051254	0.5057793791	0.658126052	0.658126052	0.6909546801	0.3420822397	0.6741409389	0.4501727005
51	0.7726819597	0.6221123258	0.7726819597	0.5058839078	0.6556947821	0.6556947821	0.6909545991	0.3420821544	0.6728630802	0.4496024622
52	0.7731518849	0.6213090138	0.7731518849	0.5065871934	0.657377969	0.657377969	0.6907433315	0.3418595604	0.6736477618	0.44980485
53	0.7734618902	0.6206691162	0.7734618902	0.507067784	0.6603703011	0.6603703011	0.6915236268	0.3426824534	0.6755880121	0.4512171746
54	0.7736425971	0.6198226466	0.7736425971	0.5072612622	0.6598092388	0.6598092388	0.6915313669	0.3426906265	0.6752979713	0.4510932106
