iter	Passed	Remaining
409	4598	6617
410	4610	6607
411	4621	6595
412	4632	6583
413	4643	6572
414	4653	6560
415	4664	6548
416	4675	6537
417	4686	6525
418	4697	6513
419	4708	6502
420	4719	6490
421	4729	6478
422	4740	6466
423	4750	6454
424	4762	6442
425	4772	6431
426	4783	6419
427	4795	6408
428	4805	6396
429	4816	6384
430	4827	6373
431	4838	6362
432	4850	6351
433	4861	6340
434	4873	6329
435	4883	6317
436	4894	6306
437	4905	6294
438	4916	6283
439	4927	6271
440	4938	6260
441	4948	6247
442	4959	6235
443	4970	6223
444	4980	6211
445	4991	6199
446	5001	6187
447	5012	6175
448	5024	6165
449	5034	6153
450	5045	6142
451	5060	6135
452	5071	6123
453	5082	6112
454	5093	6100
455	5106	6091
456	5117	6080
457	5128	6068
458	5138	6056
459	5149	6045
460	5160	6033
461	5171	6021
462	5181	6009
463	5192	5998
464	5203	5987
465	5214	5975
466	5225	5964
467	5236	5952
468	5247	5940
469	5258	5929
470	5270	5918
471	5280	5907
472	5291	5895
473	5304	5886
474	5316	5875
475	5326	5864
476	5337	5852
477	5348	5840
478	5359	5829
479	5370	5818
480	5381	5806
481	5391	5794
482	5403	5783
483	5414	5772
484	5425	5760
485	5437	5750
486	5449	5740
487	5459	5728
488	5471	5717
489	5482	5706
490	5493	5694
491	5503	5682
492	5515	5671
493	5525	5659
494	5537	5649
495	5552	5642
496	5563	5630
497	5573	5618
498	5584	5607
499	5595	5595
500	5606	5583
501	5618	5573
502	5629	5562
503	5640	5550
504	5651	5539
505	5661	5527
506	5672	5515
507	5685	5506
508	5696	5494
509	5706	5482
510	5717	5471
511	5727	5459
512	5738	5447
513	5749	5436
514	5760	5424
515	5772	5414
516	5783	5403
517	5795	5393
518	5806	5381
519	5817	5370
520	5828	5358
521	5840	5348
522	5852	5337
523	5864	5327
524	5876	5316
525	5887	5305
526	5898	5293
527	5908	5281
528	5919	5270
529	5931	5260
530	5942	5248
531	5952	5236
532	5963	5225
533	5974	5213
534	5986	5202
535	5997	5191
536	6008	5180
537	6019	5168
538	6031	5158
539	6047	5151
540	6057	5139
541	6069	5128
542	6080	5117
543	6090	5105
544	6101	5093
545	6113	5083
546	6126	5073
547	6138	5063
548	6151	5053
549	6162	5042
550	6176	5033
551	6189	5023
552	6201	5012
553	6213	5002
554	6228	4993
555	6241	4984
556	6252	4973
557	6266	4963
558	6279	4953
559	6295	4946
560	6313	4940
561	6324	4929
562	6336	4918
563	6348	4908
564	6361	4897
565	6375	4888
566	6387	4877
567	6399	4867
568	6411	4856
569	6425	4847
570	6439	4838
571	6451	4827
572	6462	4815
573	6474	4805
574	6489	4796
575	6501	4785
576	6513	4775
577	6526	4764
578	6538	4754
579	6550	4743
580	6561	4732
581	6577	4724
582	6589	4713
583	6601	4702
584	6613	4691
585	6627	4682
586	6641	4672
587	6653	4661
588	6664	4650
589	6676	4639
590	6692	4631
591	6709	4624
592	6722	4613
593	6735	4603
594	6747	4592
595	6760	4582
596	6773	4572
597	6785	4561
598	6798	4550
599	6810	4540
600	6822	4529
601	6836	4519
602	6848	4508
603	6860	4497
604	6873	4487
605	6887	4477
606	6901	4468
607	6912	4456
608	6925	4446
609	6937	4435
610	6951	4425
611	6963	4414
612	6975	4403
613	6987	4392
614	7001	4382
615	7012	4371
616	7026	4361
617	7038	4350
618	7050	4339
619	7062	4328
620	7075	4318
621	7088	4307
622	7100	4296
623	7111	4285
624	7123	4274
625	7135	4263
626	7148	4252
627	7160	4241
628	7172	4230
629	7185	4220
630	7202	4212
631	7214	4201
632	7226	4189
633	7239	4179
634	7251	4168
635	7264	4157
636	7276	4146
637	7288	4135
638	7300	4124
639	7312	4113
640	7324	4102
641	7337	4091
642	7348	4080
643	7359	4068
644	7372	4057
645	7384	4046
646	7397	4035
647	7408	4024
648	7421	4013
649	7433	4002
650	7447	3992
651	7459	3981
652	7470	3970
653	7482	3958
654	7495	3948
655	7509	3938
656	7521	3926
657	7532	3915
658	7545	3904
659	7556	3892
660	7568	3881
661	7580	3870
662	7591	3858
663	7602	3847
664	7615	3836
665	7628	3825
666	7641	3814
667	7652	3803
668	7664	3792
669	7678	3781
670	7693	3772
671	7705	3760
672	7717	3749
673	7728	3737
674	7741	3727
675	7753	3716
676	7765	3705
677	7777	3693
678	7789	3682
679	7801	3671
680	7813	3660
681	7825	3648
682	7838	3638
683	7849	3626
684	7861	3615
685	7874	3604
686	7887	3593
687	7898	3582
688	7911	3570
689	7924	3560
690	7937	3549
691	7949	3538
692	7962	3527
693	7975	3516
694	7987	3505
695	7998	3493
696	8011	3482
697	8023	3471
698	8034	3459
699	8046	3448
700	8058	3437
701	8071	3426
702	8082	3414
703	8094	3403
704	8105	3391
705	8118	3380
706	8129	3368
707	8140	3357
708	8151	3345
709	8162	3334
710	8174	3322
711	8188	3312
712	8199	3300
713	8210	3288
714	8221	3277
715	8234	3266
716	8245	3254
717	8256	3242
718	8266	3230
719	8277	3218
720	8288	3207
721	8298	3195
722	8309	3183
723	8321	3172
724	8332	3160
725	8342	3148
726	8353	3136
727	8363	3124
728	8374	3113
729	8386	3101
730	8398	3090
731	8408	3078
732	8420	3067
733	8431	3055
734	8443	3044
735	8455	3033
736	8466	3021
737	8477	3009
738	8488	2997
739	8502	2987
740	8513	2975
741	8524	2963
742	8535	2952
743	8546	2940
744	8557	2929
745	8568	2917
746	8578	2905
747	8589	2893
748	8601	2882
749	8612	2870
750	8623	2859
751	8633	2847
752	8644	2835
753	8655	2823
754	8667	2812
755	8677	2800
756	8688	2788
757	8698	2777
758	8709	2765
759	8720	2753
760	8731	2742
761	8743	2730
762	8754	2719
763	8765	2707
764	8776	2696
765	8787	2684
766	8798	2672
767	8810	2661
768	8821	2649
769	8832	2638
770	8842	2626
771	8853	2614
772	8865	2603
773	8876	2591
774	8887	2580
775	8898	2568
776	8908	2556
777	8919	2545
778	8930	2533
779	8941	2521
780	8951	2510
781	8963	2498
782	8974	2487
783	8984	2475
784	8996	2464
785	9007	2452
786	9018	2440
787	9029	2429
788	9040	2417
789	9051	2406
790	9062	2394
791	9072	2382
792	9084	2371
793	9096	2359
794	9107	2348
795	9117	2336
796	9129	2325
797	9139	2313
798	9150	2301
799	9160	2290
800	9173	2279
801	9184	2267
802	9195	2255
803	9206	2244
804	9216	2232
805	9228	2221
806	9238	2209
807	9248	2197
808	9259	2186
809	9270	2174
810	9281	2162
811	9292	2151
812	9303	2140
813	9315	2128
814	9326	2117
815	9336	2105
816	9347	2093
817	9358	2082
818	9370	2070
819	9381	2059
820	9392	2047
821	9403	2036
822	9414	2024
823	9426	2013
824	9441	2002
825	9452	1991
826	9462	1979
827	9473	1967
828	9484	1956
829	9496	1945
830	9507	1933
831	9517	1921
832	9528	1910
833	9540	1898
834	9551	1887
835	9563	1876
836	9575	1864
837	9586	1853
838	9597	1841
839	9608	1830
840	9618	1818
841	9630	1807
842	9641	1795
843	9651	1783
844	9662	1772
845	9672	1760
846	9684	1749
847	9694	1737
848	9706	1726
849	9717	1714
850	9727	1703
851	9739	1691
852	9750	1680
853	9761	1668
854	9772	1657
855	9782	1645
856	9793	1634
857	9806	1622
858	9818	1611
859	9829	1600
860	9841	1588
861	9851	1577
862	9862	1565
863	9873	1554
864	9885	1542
865	9896	1531
866	9907	1519
867	9919	1508
868	9930	1497
869	9943	1485
870	9954	1474
871	9965	1462
872	9975	1451
873	9990	1440
874	10001	1428
875	10012	1417
876	10024	1405
877	10035	1394
878	10046	1382
879	10057	1371
880	10069	1360
881	10080	1348
882	10091	1337
883	10101	1325
884	10112	1314
885	10124	1302
886	10135	1291
887	10146	1279
888	10156	1268
889	10168	1256
890	10179	1245
891	10190	1233
892	10201	1222
893	10212	1210
894	10222	1199
895	10233	1187
896	10245	1176
897	10255	1164
898	10266	1153
899	10277	1141
900	10287	1130
901	10299	1119
902	10311	1107
903	10321	1096
904	10332	1084
905	10343	1073
906	10354	1061
907	10364	1050
908	10374	1038
909	10385	1027
910	10397	1015
911	10407	1004
912	10418	992
913	10432	981
914	10443	970
915	10454	958
916	10466	947
917	10480	936
918	10491	924
919	10502	913
920	10513	901
921	10525	890
922	10536	879
923	10547	867
924	10558	856
925	10569	844
926	10580	833
927	10591	821
928	10601	810
929	10612	798
930	10623	787
931	10634	775
932	10645	764
933	10655	752
934	10667	741
935	10680	730
936	10691	718
937	10702	707
938	10712	695
939	10723	684
940	10735	673
941	10746	661
942	10757	650
943	10768	638
944	10778	627
945	10789	615
946	10799	604
947	10811	593
948	10822	581
949	10833	570
950	10844	558
951	10855	547
952	10866	535
953	10878	524
954	10890	513
955	10900	501
956	10912	490
957	10927	479
958	10938	467
959	10949	456
960	10959	444
961	10970	433
962	10983	421
963	10994	410
964	11005	399
965	11016	387
966	11027	376
967	11040	364
968	11051	353
969	11062	342
970	11074	330
971	11086	319
972	11096	307
973	11108	296
974	11118	285
975	11129	273
976	11140	262
977	11151	250
978	11161	239
979	11173	228
980	11184	216
981	11195	205
982	11207	193
983	11217	182
984	11230	171
985	11241	159
986	11252	148
987	11263	136
988	11274	125
989	11285	113
990	11296	102
991	11307	91
992	11318	79
993	11328	68
994	11340	56
995	11352	45
996	11363	34
997	11373	22
998	11384	11
999	11394	0
